ID,SCHOOL,CONFERENCE,CONFERENCE WEIGHT,ARENA LOCATION LAT,LON,ARENA NAME,ARENA CAPACITY,TEAM ABBREVIATION,ARENA OPENED,FULL NAME
78,Texas Tech,Big 12,High,33.581261,-101.886636,United Spirit Arena,15020,,1999,Texas Tech Red Raiders
79,West Virginia,Big 12,High,39.649167,-79.981111,WVU Coliseum,14000,,,West Virginia Mountaineers
80,Butler,Big East,Mid,39.843611,-86.167222,Hinkle Fieldhouse,11043,,,Butler Bulldogs
81,Creighton,Big East,Mid,41.262667,-95.928206,CenturyLink Center Omaha,18320,,,Creighton Bluejays
82,DePaul,Big East,High,42.005278,-87.887778,Allstate Arena,17500,,,DePaul Blue Demons
83,Georgetown,Big East,High,38.898056,-77.020833,Verizon Center,20308,,,Georgetown Hoyas
84,Marquette,Big East,High,43.043611,-87.916944,BMO Harris Bradley Center,18840,,,Marquette Golden Eagles
85,Providence,Big East,High,41.823611,-71.418333,Dunkin' Donuts Center,12400,,1972,Providence Friars
86,Seton Hall,Big East,High,40.733611,-74.171111,Prudential Center,18711,,,Seton Hall Pirates
87,St. John's,Big East,High,40.750556,-73.993611,Madison Square Garden,19763,,,St. John's Red Storm
88,Villanova,Big East,High,40.034072,-75.336553,The Pavilion,6500,,,Villanova Wildcats
89,Xavier,Big East,Mid,39.150148,-84.471881,Cintas Center,10250,,,Xavier Musketeers
90,Eastern Washington,Big Sky,Low,47.491111,-117.589167,Reese Court,6000,,,Eastern Washington Eagles
91,Idaho State,Big Sky,Low,42.869722,-112.428333,Holt Arena,8000,,,Idaho State Bengals
92,Montana,Big Sky,Low,46.863819,-113.983403,Dahlberg Arena,7321,,1953,Montana Grizzlies
93,Montana State,Big Sky,Low,45.663295,-111.050599,Worthington Arena,7250,,,Montana State Bobcats
94,North Dakota,Big Sky,Low,47.92767,-97.07247,Betty Engelstad Sioux Center,3300,,2004,North Dakota
95,Northern Arizona,Big Sky,Low,35.1805,-111.6525,Walkup Skydome,11230,,1977,Northern Arizona Lumberjacks
96,Northern Colorado,Big Sky,Low,40.402251,-104.703097,Butler–Hancock Sports Pavilion,2992,,1975,Northern Colorado Bears
97,Portland State,Big Sky,Low,45.510987,-122.687471,Peter Stott Center,2000,,,Portland State Vikings
98,Sacramento State,Big Sky,Low,38.561879,-121.426831,Colberg Court,1200,,1955,Sacramento State Hornets
99,Southern Utah,Big Sky,Low,37.675556,-113.073056,Centrum Arena,5300,,,Southern Utah Thunderbirds
100,Weber State,Big Sky,Low,41.1825,-111.945,Dee Events Center,11500,,1977,Weber State Wildcats
101,Campbell,Big South,Low,35.407905,-78.736696,"John W. Pope, Jr. Convocation Center",3095,,,Campbell Fighting Camels
102,Charleston Southern,Big South,Low,32.980822,-80.067125,CSU Field House,881,,,Charleston Southern Buccaneers
103,Coastal Carolina,Big South,Low,33.799167,-79.015556,HTC Center,3600,,,Coastal Carolina Chanticleers
104,Gardner-Webb,Big South,Low,35.246538,-81.669518,Paul Porter Arena,5000,,,Gardner-Webb Runnin' Bulldogs
105,High Point,Big South,Low,35.973456,-79.995706,Millis Athletic Convocation Center,1750,,,High Point Panthers
106,Liberty,Big South,Low,37.349068,-79.180998,Vines Center,8085,,,Liberty Flames
107,Longwood,Big South,Low,37.297312,-78.395664,"Henry I. Willet, Jr. Hall",2522,,,Longwood Lancers
108,NC-Asheville,Big South,Low,35.618,-82.568,Kimmel Arena,3200,,,UNC Asheville Bulldogs
109,Presbyterian,Big South,Low,34.465,-81.869,Templeton Physical Education Center,2300,,,Presbyterian Blue Hose
110,Radford,Big South,Low,37.1386,-80.541769,Dedmon Center,3205,,,Radford Highlanders
111,VMI,Big South,Low,37.788333,-79.436389,Cameron Hall,5020,,,VMI Keydets
112,Winthrop,Big South,Low,34.947911,-81.014972,Winthrop Coliseum,6100,,,Winthrop Eagles
113,Cal Poly,Big West,Low,35.29886,-120.65855,Mott Gym,3032,,,Cal Poly Mustangs
114,Cal State Fullerton,Big West,Low,33.883046,-117.88609,Titan Gym,4000,,1964,Cal State Fullerton Titans
115,California Irvine,Big West,Low,33.649167,-117.846944,Bren Events Center,4984,,1987,UC Irvine Anteaters
116,California Riverside,Big West,Low,33.9789,-117.32813,UC Riverside Student Recreation Center,3168,,1994,California Riverside Highlanders
117,Hawaii,Big West,Low,21.294292,-157.818875,Stan Sheriff Center,10300,,,Hawaii Rainbow Warriors
118,Long Beach State,Big West,Low,33.787222,-118.114167,Walter Pyramid,5000,,,Long Beach State ers
119,Northridge,Big West,Low,34.241974,-118.526484,Matadome,1600,,1962,Cal State Northridge Matadors
